,Unnamed: 0_x,doi,fk_idx,cole_idx,date,Unnamed: 0_y,subject,"doi,subject",period,Discipline
9714,28,s42256-020-0210-5,17.5,14.98,2020-07-15 00:00:00+00:00,71,Science,,Before,Physical sciences
9716,29,s42255-020-0225-6,20.5,34.04,2020-07-15 00:00:00+00:00,73,Breast cancer,,Before,Biological sciences
9717,29,s42255-020-0225-6,20.5,34.04,2020-07-15 00:00:00+00:00,74,Cancer metabolism,,Before,Biological sciences
9718,29,s42255-020-0225-6,20.5,34.04,2020-07-15 00:00:00+00:00,75,Cancer therapeutic resistance,,Before,Biological sciences
9720,30,s42255-020-0218-5,18.0,25.29,2020-06-01 00:00:00+00:00,77,Cell biology,,Before,Biological sciences
9726,0,s42004-020-0307-0,16.5,27.54,2020-05-15 00:00:00+00:00,0,Bioinorganic chemistry,,Before,Physical sciences
9727,0,s42004-020-0307-0,16.5,27.54,2020-05-15 00:00:00+00:00,1,Coordination chemistry,,Before,Physical sciences
9728,0,s42004-020-0307-0,16.5,27.54,2020-05-15 00:00:00+00:00,2,Drug discovery and development,,Before,Biological sciences
9729,0,s42004-020-0307-0,16.5,27.54,2020-05-15 00:00:00+00:00,3,Inorganic chemistry,,Before,Physical sciences
9731,1,s41929-020-0486-1,18.5,29.11,2020-08-14 00:00:00+00:00,5,Energy,,Before,Physical sciences
9741,4,s41929-020-0477-2,21.7,61.55,2020-06-18 00:00:00+00:00,15,Synthetic chemistry methodology,,Before,Physical sciences
9747,6,s42003-020-01517-9,15.5,27.41,2020-12-15 00:00:00+00:00,26,Epigenetics,,Before,Biological sciences
9750,7,s42003-020-01501-3,18.6,32.81,2020-12-15 00:00:00+00:00,29,Evolutionary genetics,,Before,Biological sciences
9751,7,s42003-020-01501-3,18.6,32.81,2020-12-15 00:00:00+00:00,30,Molecular evolution,,Before,Biological sciences
9754,8,s41893-020-0524-7,18.3,34.73,2020-05-04 00:00:00+00:00,33,Natural hazards,,Before,Earth and environmental sciences
9758,10,s41545-020-00089-9,16.0,27.7,2020-10-13 00:00:00+00:00,37,Electrical and electronic engineering,,Before,Physical sciences
9770,14,s42003-020-01283-8,19.7,35.82,2020-10-13 00:00:00+00:00,49,Biophysics,,Before,Biological sciences
9771,14,s42003-020-01283-8,19.7,35.82,2020-10-13 00:00:00+00:00,50,Infectious diseases,,Before,Health sciences
9774,14,s42003-020-01283-8,19.7,35.82,2020-10-13 00:00:00+00:00,53,Structural biology,,Before,Biological sciences
9775,15,s41893-020-0493-x,14.8,26.95,2020-03-23 00:00:00+00:00,54,Agriculture,,Before,Scientific community and society
9781,16,s41893-020-0484-y,18.8,32.47,2020-03-09 00:00:00+00:00,65,Technology,,Before,Physical sciences
9786,18,s42003-020-01289-2,17.6,28.99,2020-10-09 00:00:00+00:00,70,Cardiovascular diseases,,Before,Health sciences
9798,21,s41893-020-0495-8,17.9,26.33,2020-03-23 00:00:00+00:00,87,Diseases,,Before,Health sciences
9802,21,s41893-020-0495-8,17.9,26.33,2020-03-23 00:00:00+00:00,91,Risk factors,,Before,Health sciences
9803,22,s42003-020-01287-4,18.5,28.3,2020-10-09 00:00:00+00:00,92,Applied microbiology,,Before,Biological sciences
9805,23,s42003-020-01275-8,17.8,27.95,2020-10-13 00:00:00+00:00,96,Biophysics,,Before,Biological sciences
9807,23,s42003-020-01275-8,17.8,27.95,2020-10-13 00:00:00+00:00,98,Structural biology,,Before,Biological sciences
9817,0,s41377-020-0262-7,17.9,30.78,2020-02-27 00:00:00+00:00,2,Optical physics,,Before,Physical sciences
9826,5,s41389-020-00256-0,17.2,28.53,2020-08-19 00:00:00+00:00,11,Cancer microenvironment,,Before,Biological sciences
9827,5,s41389-020-00256-0,17.2,28.53,2020-08-19 00:00:00+00:00,12,Colorectal cancer,,Before,Biological sciences
9832,7,s41377-020-00378-5,18.2,32.11,2020-08-17 00:00:00+00:00,17,Optical physics,,Before,Physical sciences
9852,17,s41389-020-00255-1,16.2,27.71,2020-08-05 00:00:00+00:00,37,Breast cancer,,Before,Biological sciences
9853,17,s41389-020-00255-1,16.2,27.71,2020-08-05 00:00:00+00:00,38,Cancer stem cells,,Before,Biological sciences
9858,20,s41389-020-00252-4,15.4,27.59,2020-08-06 00:00:00+00:00,43,CNS cancer,,Before,Biological sciences
9859,20,s41389-020-00252-4,15.4,27.59,2020-08-06 00:00:00+00:00,44,Drug discovery and development,,Before,Biological sciences
9860,21,s41389-020-00253-3,18.4,25.98,2020-07-24 00:00:00+00:00,45,Cell biology,,Before,Biological sciences
9861,21,s41389-020-00253-3,18.4,25.98,2020-07-24 00:00:00+00:00,46,Haematological cancer,,Before,Biological sciences
9864,22,s41389-020-00254-2,17.1,26.73,2020-07-29 00:00:00+00:00,49,Ovarian cancer,,Before,Biological sciences
